       sweep	        time	      energy	  accept
           0	           0	           0	       0
bondlist
        4800	           1	-4.29965e+07	 1191.79
bondlist
           0          23           2           0
           0          94           1           3
           1          67           3           3
           2          65           3           3
           4          93           4           5
           5          48           0           1
           6          57           0           3
           7          44           0           1
           9          27           4           2
          10          56           4           1
          11          28           0           0
          12          40           3           2
          15          92           4           3
          16          81           5           3
          17          25           0           5
          19          71           5           1
          21          78           1           2
          23           0           0           2
          24          79           2           1
          25          17           5           0
          27           9           2           4
          27          36           0           1
          28          11           0           0
          29          83           2           2
          32          38           1           1
          32          45           2           4
          34          87           3           5
          36          27           1           0
          38          73           4           5
          38          32           1           1
          39          70           1           0
          40          12           2           3
          41          47           4           2
          42          64           0           2
          42          91           5           0
          44           7           1           0
          45          32           4           2
          47          41           2           4
          47          90           1           1
          48           5           1           0
          50          68           3           2
          50          74           0           4
          53          81           3           0
          53          55           4           1
          55          53           1           4
          56          10           1           4
          57           6           3           0
          59          80           1           4
          60          95           5           0
          61          98           3           1
          64          42           2           0
          65           2           3           3
          67           1           3           3
          68          50           2           3
          70          39           0           1
          71          19           1           5
          73          38           5           4
          74          50           4           0
          78          21           2           1
          79          24           1           2
          80          59           4           1
          81          53           0           3
          81          16           3           5
          83          29           2           2
          84          90           3           5
          87          34           5           3
          90          84           5           3
          90          47           1           1
          91          42           0           5
          92          15           3           4
          92          97           5           0
          93           4           5           4
          94           0           3           1
          95          60           0           5
          97          92           0           5
          98          61           1           3
        9600	           2	-4.29995e+07	  673.56
bondlist
           0          23           2           0
           0          94           1           3
           1          67           3           3
           2          65           3           3
           3          12           5           2
           4          93           4           5
           5          48           0           1
           6          57           0           3
           7          44           0           1
           8          63           3           3
           9          27           4           2
          10          56           4           1
          11          28           0           0
          12          40           3           2
          12           3           2           5
          14          49           1           4
          15          92           4           3
          16          81           5           3
          17          25           0           5
          18          58           1           3
          19          71           5           1
          21          78           1           2
          23           0           0           2
          24          79           2           1
          25          17           5           0
          27           9           2           4
          27          36           0           1
          28          11           0           0
          29          83           2           2
          30          66           2           5
          31          64           5           1
          32          38           1           1
          32          45           2           4
          33          35           1           0
          34          87           3           5
          35          33           0           1
          36          27           1           0
          37          95           2           2
          38          73           4           5
          38          32           1           1
          39          70           1           0
          40          12           2           3
          41          47           4           2
          42          64           0           2
          42          91           5           0
          42          44           2           3
          44           7           1           0
          44          42           3           2
          45          32           4           2
          47          41           2           4
          47          90           1           1
          48           5           1           0
          49          14           4           1
          50          68           3           2
          50          74           0           4
          53          81           3           0
          53          55           4           1
          55          53           1           4
          56          10           1           4
          57           6           3           0
          58          18           3           1
          59          80           1           4
          60          95           5           0
          61          98           3           1
          63           8           3           3
          64          42           2           0
          64          31           1           5
          65           2           3           3
          66          30           5           2
          67           1           3           3
          68          50           2           3
          69          84           4           4
          70          39           0           1
          71          19           1           5
          73          38           5           4
          74          50           4           0
          78          21           2           1
          79          24           1           2
          80          59           4           1
          81          53           0           3
          81          16           3           5
          82          99           0           5
          83          29           2           2
          84          90           3           5
          84          69           4           4
          87          34           5           3
          90          84           5           3
          90          47           1           1
          91          42           0           5
          92          15           3           4
          92          97           5           0
          93           4           5           4
          94           0           3           1
          95          60           0           5
          95          37           2           2
          97          92           0           5
          98          61           1           3
          99          82           5           0
       14400	           3	-4.30005e+07	  491.63
bondlist
           0          23           2           0
           0          94           1           3
           1          67           3           3
           2          65           3           3
           3          12           5           2
           4          93           4           5
           5          48           0           1
           6          57           0           3
           7          44           0           1
           8          63           3           3
           9          27           4           2
          10          56           4           1
          10          41           3           5
          11          28           0           0
          12          40           3           2
          12           3           2           5
